Date,GLD,IEF,QQQ,SPY,VXUS
2020-03-16,141.63999938964844,102.20772552490234,162.8088836669922,218.0863494873047,31.399093627929688
2020-03-17,143.55999755859375,99.64511108398438,175.1566162109375,229.86129760742188,33.023460388183594
2020-03-18,140.6999969482422,98.26195526123047,169.82899475097656,218.2227325439453,30.780677795410156
2020-03-19,138.0399932861328,98.58441162109375,170.84840393066406,218.68643188476562,31.126981735229492
2020-03-20,140.11000061035156,101.09608459472656,164.1552276611328,209.2623748779297,31.01979637145996
2020-03-23,146.3000030517578,102.29256439208984,164.27377319335938,203.91189575195312,30.38805389404297
2020-03-24,153.39999389648438,101.59674835205078,176.9947052001953,222.386962890625,32.93486022949219
2020-03-25,151.3000030517578,101.65614318847656,175.68405151367188,225.71612548828125,34.125579833984375
2020-03-26,153.24000549316406,101.90226745605469,184.9356689453125,238.89569091796875,35.46512222290039
2020-03-27,152.25,102.65741729736328,178.5752410888672,231.780029296875,34.2413330078125
2020-03-30,152.9199981689453,102.89503479003906,185.0706024169922,239.3072052001953,34.8780517578125
2020-03-31,148.0500030517578,103.08173370361328,183.4901123046875,235.740234375,34.69611740112305
2020-04-01,149.4499969482422,103.50138854980469,175.69369506835938,225.1308135986328,33.37310028076172
2020-04-02,151.89999389648438,103.5184097290039,179.25941467285156,230.32577514648438,34.14211654663086
2020-04-03,152.64999389648438,103.5948486328125,176.71524047851562,226.99661254882812,33.43098449707031
2020-04-06,156.8800048828125,103.12757873535156,189.34947204589844,242.24313354492188,35.14263916015625
2020-04-07,156.0399932861328,102.66883087158203,189.27236938476562,242.49005126953125,35.382442474365234
2020-04-08,154.64999389648438,102.54137420654297,193.29107666015625,250.63015747070312,35.729732513427734
